OBJECTID *	stationName	SHAPE *	StationID *	dpcapacity	POINT_X	POINT_Y
1	Bicentennial Park	Point	1	15	-83.003106	39.955864
2	City Hall	Point	2	11	-83.002854	39.963524
3	Front St & Beck St	Point	3	15	-83.000235	39.950124
4	Scioto Audubon Center	Point	4	15	-83.00907	39.945895
5	Dorrian Commons - Mound St	Point	5	15	-82.998879	39.954717
6	Schiller Park - Stewart Ave	Point	6	15	-82.995019	39.942026
7	Neil Ave & Nationwide Blvd	Point	7	15	-83.008763	39.968098
8	Bank St & Frankfort St	Point	8	11	-83.000322	39.946568
9	Columbus Commons - Rich St	Point	9	15	-82.998002	39.957591
10	3rd St & Sycamore St	Point	10	15	-82.995285	39.949348
11	Nationwide Arena - Front St	Point	11	11	-83.00397	39.969126
12	Convention Center	Point	12	19	-83.002211	39.971216
13	High St & Broad St	Point	13	19	-83.001081	39.962002
14	Livingston Park	Point	14	15	-82.979178	39.951464
15	Grant Ave & Main St	Point	15	15	-82.990057	39.957493
16	Sensenbrenner Park	Point	16	19	-83.001618	39.968596
17	High St & Spring St	Point	17	15	-83.001502	39.965866
18	3rd St & Gay St	Point	18	19	-82.998665	39.963964
19	COSI	Point	19	19	-83.006558	39.961234
20	North Market	Point	20	11	-83.00356	39.972193
21	Kilbourne St & Vine St	Point	21	11	-83.007284	39.972025
22	Neil Ave & Buttles Ave	Point	22	11	-83.011549	39.977406
23	High St & Lincoln St	Point	23	15	-83.0032	39.976916
24	High St & 2nd Ave	Point	24	15	-83.00473	39.981846
25	Cleveland Ave & Mt Vernon Ave	Point	25	15	-82.990716	39.969188
26	Columbus College of Art & Design	Point	26	15	-82.990471	39.965128
27	Columbus Museum of Art	Point	27	11	-82.988346	39.963795
28	Library - Main Branch	Point	28	15	-82.990196	39.961512
29	Topiary Park - Town St	Point	29	11	-82.986968	39.960245
30	Parsons Ave & Oak St	Point	30	11	-82.981326	39.963218
